source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P15976	P13727	GATA1	PRG2	True	True	False	True	True	False	D
P42224	P07900	STAT1	HSP90AA1	True	False	True	True	False	True	A
Q00613	P07900	HSF1	HSP90AA1	True	True	False	True	True	False	C
Q00613	P34932	HSF1	HSPA4	True	True	False	True	True	False	A
P40763	P34932	STAT3	HSPA4	True	True	False	True	True	False	D
P17676	P00738	CEBPB	HP	True	True	False	True	True	False	A
P40763	P00738	STAT3	HP	True	True	False	True	True	False	D
Q16665	P02786	HIF1A	TFRC	True	True	False	True	True	False	A
P01106	P34932	MYC	HSPA4	True	True	False	True	True	False	A
P08047	P49768	SP1	PSEN1	True	True	False	True	True	False	A
P51843	Q13285	NR0B1	NR5A1	True	False	True	False	False	False	A
Q13285	P51843	NR5A1	NR0B1	True	True	False	True	True	False	A
P03372	Q9Y6Q6	ESR1	TNFRSF11A	True	True	False	True	True	False	D
P08047	P05141	SP1	SLC25A5	True	True	True	True	True	False	A
P03372	Q01094	ESR1	E2F1	True	True	False	True	True	False	A
Q01094	P03372	E2F1	ESR1	True	False	False	False	False	False	D
P08047	Q01094	SP1	E2F1	True	True	False	True	True	False	A
Q01094	P08047	E2F1	SP1	True	True	False	False	False	False	D
Q02447	P05108	SP3	CYP11A1	True	True	False	True	True	False	D
P05549	P05108	TFAP2A	CYP11A1	True	True	False	True	True	False	A
P08047	P17947	SP1	SPI1	True	True	False	True	True	False	A
P40763	P08238	STAT3	HSP90AB1	True	True	False	True	True	False	D
P08047	P00750	SP1	PLAT	True	True	False	True	True	False	A
Q9UQR1	P11926	ZNF148	ODC1	True	True	True	True	False	True	D
Q9UQR1	P01350	ZNF148	GAST	True	True	True	True	True	False	D
Q02447	P00750	SP3	PLAT	True	True	False	True	True	False	A
P17947	P32927	SPI1	CSF2RB	True	True	False	True	True	False	D
Q02556	P01584	IRF8	IL1B	True	True	False	True	True	False	D
P17947	P01584	SPI1	IL1B	True	True	False	True	True	False	A
P08047	P25963	SP1	NFKBIA	True	True	False	True	True	False	D
P08047	O95980	SP1	RECK	True	True	True	True	True	False	D
Q02548	P51451	PAX5	BLK	True	True	True	True	True	False	A
Q12772	P01130	SREBF2	LDLR	True	True	False	True	True	False	A
P55317	P02771	FOXA1	AFP	True	True	False	True	True	False	D
P08047	P02686	SP1	MBP	True	True	False	True	True	False	D
P06401	P08833	PGR	IGFBP1	True	True	False	True	True	False	A
Q13285	P05108	NR5A1	CYP11A1	True	True	False	True	True	False	A
P17676	P10145	CEBPB	CXCL8	True	True	False	True	True	False	A
P20823	P22309	HNF1A	UGT1A1	True	True	False	True	True	False	A
P19838	P24385	NFKB1	CCND1	True	True	True	True	True	False	A
Q04206	P24385	RELA	CCND1	True	True	True	True	True	False	A
P49716	P01584	CEBPD	IL1B	True	True	False	True	True	False	D
P17676	P01584	CEBPB	IL1B	True	True	False	True	True	False	A
P04637	Q99933	TP53	BAG1	True	False	True	True	False	True	D
Q04206	P00749	RELA	PLAU	True	True	False	True	True	False	A
Q13351	P68871	KLF1	HBB	True	True	False	True	True	False	B
Q04864	P13500	REL	CCL2	True	True	False	True	True	False	A
Q04206	P13500	RELA	CCL2	True	True	False	True	True	False	A
P04637	O15151	TP53	MDM4	True	True	True	False	False	False	A
O15350	O15151	TP73	MDM4	True	True	False	False	False	False	C
P19544	P04198	WT1	MYCN	True	False	True	True	False	True	A
P27540	P07339	ARNT	CTSD	True	True	True	True	False	True	D
P16220	P05412	CREB1	JUN	True	False	True	True	False	True	A
P08047	P52926	SP1	HMGA2	True	True	False	True	True	False	A
Q02447	P52926	SP3	HMGA2	True	True	False	True	True	False	A
P01100	P11021	FOS	HSPA5	True	True	False	True	True	False	D
Q07869	P05305	PPARA	EDN1	True	False	True	True	False	True	D
Q04206	P10145	RELA	CXCL8	True	True	True	True	True	False	A
P03372	Q9UBR4	ESR1	LHX3	True	False	False	False	False	False	D
Q13285	Q8WTV0	NR5A1	SCARB1	True	True	False	True	True	False	D
P08651	P10275	NFIC	AR	True	True	False	True	True	False	D
P04637	P60568	TP53	IL2	True	False	True	True	False	True	D
P05549	P08700	TFAP2A	IL3	True	True	False	True	True	False	D
O75030	P23760	MITF	PAX3	True	True	False	False	False	False	D
P23760	O75030	PAX3	MITF	True	True	True	True	True	False	A
Q04206	P01375	RELA	TNF	True	True	False	True	True	False	A
P19838	P01375	NFKB1	TNF	True	True	False	True	True	False	A
P17676	P11597	CEBPB	CETP	True	True	False	True	True	False	D
P08651	P04798	NFIC	CYP1A1	True	False	True	True	False	True	A
Q99697	P01236	PITX2	PRL	True	True	False	True	True	False	D
Q01094	P06400	E2F1	RB1	True	True	False	False	False	False	A
P08047	P22888	SP1	LHCGR	True	True	False	True	True	False	A
Q02447	P22888	SP3	LHCGR	True	True	False	True	True	False	D
P35680	P01308	HNF1B	INS	True	True	False	True	True	False	D
P11474	P11511	ESRRA	CYP19A1	True	True	False	True	True	False	A
P31249	P00749	HOXD3	PLAU	True	True	False	True	True	False	D
P22415	P30613	USF1	PKLR	True	True	False	True	True	False	A
P17275	P40763	JUNB	STAT3	True	False	True	False	False	False	D
P40763	P17275	STAT3	JUNB	True	True	False	True	True	False	A
P08047	P24385	SP1	CCND1	True	True	False	True	True	False	A
P03372	P05549	ESR1	TFAP2A	True	True	False	False	False	False	D
P05549	P03372	TFAP2A	ESR1	True	True	False	True	True	False	B
P03372	Q92754	ESR1	TFAP2C	True	True	False	False	False	False	A
Q92754	P03372	TFAP2C	ESR1	True	True	False	True	True	False	A
P10914	P03973	IRF1	SLPI	True	False	True	True	False	True	D
P49715	P01236	CEBPA	PRL	True	True	False	True	True	False	D
Q06710	P01266	PAX8	TG	True	True	True	True	True	False	A
P19544	P08069	WT1	IGF1R	True	False	True	True	False	True	A
P03372	P24385	ESR1	CCND1	True	True	False	True	True	False	A
P01106	P22303	MYC	ACHE	True	True	True	True	True	False	D
P01106	Q92831	MYC	KAT2B	True	True	False	True	True	False	D
P08047	P06756	SP1	ITGAV	True	True	True	True	False	True	A
Q02447	P06756	SP3	ITGAV	True	True	False	True	True	False	A
Q01094	P24864	E2F1	CCNE1	True	True	False	True	True	False	A
Q01094	P24385	E2F1	CCND1	True	True	False	True	True	False	A
P25490	P04637	YY1	TP53	True	True	True	True	False	True	A
