source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources
O75626	P33076	PRDM1	CIITA	True	False	True	True	False	True	CollecTRI;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TRRUST_CollecTRI2;FANTOM4_DoRothEA;TRRUST_CollecTRI;GEREDB_CollecTRI2;DoRothEA-A_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI2;SIGNOR_CollecTRI;GEREDB_CollecTRI;TRRUST;ARACNe-GTEx_DoRothEA;ExTRI_CollecTRI
P01106	Q07812	MYC	BAX	True	True	False	True	True	False	CollecTRI;HTRIdb_CollecTRI2;ExTRI2_CollecTRI2;DoRothEA;HTRI_CollecTRI;DoRothEA-A_CollecTRI2;CollecTRI2;HTRIdb;TRED_DoRothEA;RegNetwork_DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA;HTRIdb_DoRothEA;ExTRI_CollecTRI
P14921	P09237	ETS1	MMP7	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI2;TRED_DoRothEA;RegNetwork_DoRothEA;ExTRI_CollecTRI
P04637	P25445	TP53	FAS	True	True	False	True	True	False	TFactS_CollecTRI;TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;ExTRI_CollecTRI;JASPAR_DoRothEA;PAZAR_DoRothEA;TRRUST_CollecTRI;SIGNOR_CollecTRI;TRED_DoRothEA;TRRUST;SIGNOR_CollecTRI2;ExTRI2_CollecTRI2;HOCOMOCO_DoRothEA;NTNU.Curated_CollecTRI;TRRUST_CollecTRI2;NTNUcuration_CollecTRI2;RegNetwork_DoRothEA;ORegAnno_DoRothEA;CollecTRI;TRRUST_DoRothEA;DoRothEA;KEGG-MEDICUS;CollecTRI2;SIGNOR;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA
COMPLEX:P17275_P17535	P12236	JUNB_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412	P12236	JUN	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17275	P12236	FOSL2_JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535_P53539	P12236	FOSB_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17535	P12236	FOSL2_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275_P53539	P12236	FOSB_JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P05412	P12236	FOS_JUN	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17275	P12236	JUN_JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P15407_P17275	P12236	FOSL1_JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P15407_P17535	P12236	FOSL1_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17535	P12236	JUN_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17275	P12236	FOS_JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275	P12236	JUNB	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17535	P12236	FOS_JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P53539	P12236	FOSB_JUN	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15408	P12236	FOSL2_JUN	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535	P12236	JUND	SLC25A6	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
Q02297	Q8NEB9	NRG1	PIK3C3	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P52952	P27797	NKX2-5	CALR	True	True	False	True	True	False	CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI
P10589	P27797	NR2F1	CALR	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P04637	P41440	TP53	SLC19A1	True	False	True	True	False	True	CollecTRI;JASPAR_DoRothEA;DoRothEA;HOCOMOCO_DoRothEA;GEREDB_CollecTRI2;CollecTRI2;TRED_DoRothEA;GEREDB_CollecTRI;RegNetwork_DoRothEA;ExTRI_CollecTRI
P18846	P07101	ATF1	TH	True	True	False	True	True	False	CollecTRI;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TfactS_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_CollecTRI2;GEREDB_CollecTRI2;DoRothEA-A_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;TRED_DoRothEA;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRRUST;ExTRI_CollecTRI
