n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
279,0.2161322042091899,0.8979591836734694,0.9053497942386831,220,25,11,23,0.8709677419354839,saureus,ortholog_prior,kw_chaperone,0
405,0.0893962915240111,0.9105691056910569,0.32,112,11,44,238,0.8641975308641975,saureus,PPI,kw_chaperone,0
259,0.2471385433683069,0.9047619047619048,0.920704845814978,209,22,10,18,0.8764478764478765,saureus,ortholog_prior,is_hypothetical,0
343,0.09811763208032168,0.9051724137931034,0.35714285714285715,105,11,38,189,0.8571428571428571,saureus,PPI,is_hypothetical,0
22,-0.024056261216234408,0.8125,0.7222222222222222,13,3,1,5,0.8181818181818182,saureus,ortholog_prior,is_hypothetical,1
64,0.13010726223589664,1.0,0.15517241379310345,9,0,6,49,0.90625,saureus,PPI,is_hypothetical,1
281,0.2169312357553307,0.8987854251012146,0.9061224489795918,222,25,11,23,0.8718861209964412,saureus,ortholog_prior,is_uncharacterized,0
407,0.09179455939625057,0.912,0.32386363636363635,114,11,44,238,0.8648648648648649,saureus,PPI,is_uncharacterized,0
281,0.2169312357553307,0.8987854251012146,0.9061224489795918,222,25,11,23,0.8718861209964412,saureus,ortholog_prior,is_putative,0
407,0.09179455939625057,0.912,0.32386363636363635,114,11,44,238,0.8648648648648649,saureus,PPI,is_putative,0
126,0.0784126835559757,0.9285714285714286,0.12149532710280374,13,1,18,94,0.8492063492063492,saureus,PPI,n_orth_bucket,0
74,0.01679842102263232,0.7333333333333333,0.8148148148148148,44,16,4,10,0.7297297297297297,saureus,ortholog_prior,n_orth_bucket,1-2
74,-0.15688050801130052,0.6190476190476191,0.24074074074074073,13,8,12,41,0.7297297297297297,saureus,PPI,n_orth_bucket,1-2
118,0.2611912365333283,0.9306930693069307,0.8867924528301887,94,7,5,12,0.8983050847457628,saureus,ortholog_prior,n_orth_bucket,3-5
118,0.19156329902447658,0.9761904761904762,0.3867924528301887,41,1,11,65,0.8983050847457628,saureus,PPI,n_orth_bucket,3-5
89,0.5604782662270721,0.9767441860465116,0.9882352941176471,84,2,2,1,0.9550561797752809,saureus,ortholog_prior,n_orth_bucket,6+
89,0.12591724678067134,0.9791666666666666,0.5529411764705883,47,1,3,38,0.9550561797752809,saureus,PPI,n_orth_bucket,6+
33,-0.1555427542095638,0.7096774193548387,0.9166666666666666,22,9,0,2,0.7272727272727273,saureus,ortholog_prior,length_bucket,short(<300bp)
54,-0.04099600308453939,0.7647058823529411,0.6190476190476191,26,8,4,16,0.7777777777777778,saureus,PPI,length_bucket,short(<300bp)
134,0.2745321718013305,0.9145299145299145,0.9067796610169492,107,10,6,11,0.8805970149253731,saureus,ortholog_prior,length_bucket,medium(300-1000bp)
