ec_number	km_value	km_unit	km_substrate	km_organism	km_organism_rank	km_n_at_rank	km_n_total	kcat_value	kcat_unit	kcat_organism	kcat_organism_rank	kcat_n_at_rank	kcat_n_total
2.7.1.113	2e-05	M	Deoxyguanosine	Mycoplasma mycoides	1	3	37	0.61	s^(-1)	Mycoplasma mycoides	1	1	8
2.7.1.145	4.7e-06	M	Thymidine	Drosophila melanogaster	5	40	40	16.5	s^(-1)	Drosophila melanogaster	5	9	9
2.7.1.15	3.5e-05	M	2-Deoxy-D-ribose	Bos taurus	5	3	10						0
2.7.1.191	1.03e-05	M	D-Mannose 6-phosphate	Streptococcus pyogenes	5	9	9						0
2.7.1.197	6.6e-05	M	D-Mannitol	Escherichia coli	3	1	1						0
2.7.1.199	3e-05	M	alpha-Methyl-D-glucopyranoside	Bacillus subtilis	4	4	23						0
2.7.1.21	2e-05	M	Thymidine	Human herpesvirus 1	5	80	125	0.06	s^(-1)	Human herpesvirus 1	5	76	77
2.7.1.23	0.002	M	NAD+	Escherichia coli	3	6	27	125.0	s^(-1)	Escherichia coli	3	2	10
2.7.1.24	0.000645	M	Dephospho-CoA	Escherichia coli	3	4	13	12.0	s^(-1)	Escherichia coli	3	2	4
2.7.1.26	1.52e-08	M	Riboflavin	Arabidopsis thaliana	5	5	5	0.419	s^(-1)	Arabidopsis thaliana	5	5	5
2.7.1.29	0.00011	M	ATP	Citrobacter freundii	5	17	17	5.0	s^(-1)	Citrobacter freundii	5	11	11
2.7.1.30	0.000286	M	ATP	Arabidopsis thaliana	5	16	16						0
2.7.1.32	0.00035	M	ATP	Homo sapiens	6	9	9	71.5	s^(-1)	Homo sapiens	6	6	6
2.7.1.33	0.000124	M	N-Heptylpantothenamide	Escherichia coli	3	18	52	1.14	s^(-1)	Escherichia coli	3	4	20
2.7.1.35	4.66e-05	M	Pyridoxal	Bacillus subtilis	4	1	14	0.032	s^(-1)	Bacillus subtilis	4	1	6
2.7.1.40	0.00024	M	ADP	Escherichia coli	3	18	451	130.0	s^(-1)	Escherichia coli	3	20	167
2.7.1.48	0.00033	M	Cytidine	Arabidopsis thaliana	5	3	12						0
2.7.1.56	0.000333	M	ATP	Pseudomonas doudoroffii	5	10	10						0
2.7.1.74	0.000146	M	2'-Deoxycytidine	Mycoplasma mycoides	1	3	64	1.23	s^(-1)	Mycoplasma mycoides	1	1	9
2.7.1.76	2.1e-05	M	CTP	Mycoplasma mycoides	1	11	41	0.84	s^(-1)	Mycoplasma mycoides	1	5	11
2.7.1.86	0.00213	M	NADH	Escherichia coli	3	2	10						0
2.7.2.1	6e-05	M	GTP	Escherichia coli	3	12	152	216.0	s^(-1)	Methanosarcina thermophila	5	137	137
2.7.2.10	0.000547	M	3-Phospho-D-glycerate	Entamoeba histolytica	5	40	40						0
2.7.2.15	0.00233	M	Propanoate	Salmonella typhimurium	5	3	3	125.0	s^(-1)	Salmonella typhimurium	5	2	2
2.7.2.2	0.0002	M	ADP	Mycoplasma arthritidis	1	3	45	730.0	s^(-1)	Enterococcus faecalis	5	2	2
2.7.2.3	0.00024	M	ATP	Escherichia coli	3	1	561	555.0	s^(-1)	Escherichia coli	3	8	173
2.7.3.9	9e-05	M	Phosphoenolpyruvate	Escherichia coli	3	25	39	0.2133333	s^(-1)	Escherichia coli	3	25	25
2.7.4.11	0.000454	M	dAMP	Homo sapiens	6	2	2						0
2.7.4.14	0.00036	M	1-beta-D-Arabinofuranosylcytosine 5'-monophosphate	Escherichia coli	3	9	70	217.0	s^(-1)	Dictyostelium discoideum	5	4	14
2.7.4.22	0.00024	M	ATP	Escherichia coli	3	31	64	175.0	s^(-1)	Streptococcus pneumoniae	5	24	24
