locus_tag,gene_name,gene_product,essentiality,primary_function
JCVISYN3A_0522,ftsZ,Cell division protein,Nonessential,Cellular Processes
JCVISYN3A_0523,ftsA,Cell division protein,Nonessential,Cellular Processes
JCVISYN3A_0524,rsmH; mraW,16S rRNA (cytosine(1402)-N(4))-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0525,mraZ,Cell division/cell wall cluster transcriptional repressor,Nonessential,Genetic Information Processing
JCVISYN3A_0526,rpmF,50S ribosomal protein L32,Essential,Genetic Information Processing
JCVISYN3A_0527,-/ylbN,Uncharacterized protein/23S rRNA regulator,Nonessential,Unclear
JCVISYN3A_0528,pheRS,Phenylalanine--tRNA ligase subunit beta,Essential,Metabolism
JCVISYN3A_0529,pheS,Phenylalanine--tRNA ligase subunit alpha,Essential,Metabolism
JCVISYN3A_0530,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0535,argRS,Arginine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0536,frr,Ribosome recycling factor,Essential,Genetic Information Processing
JCVISYN3A_0537,pyrH,UMP kinase,Essential,Metabolism
JCVISYN3A_0538,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0539,tsf,Translation elongation factor Ts,Essential,Genetic Information Processing
JCVISYN3A_0540,rpsB,30S ribosomal protein S2,Essential,Genetic Information Processing
JCVISYN3A_0541,dnaJ,Molecular chaperone,Essential,Genetic Information Processing
JCVISYN3A_0542,dnaK,Molecular chaperone,Essential,Genetic Information Processing
JCVISYN3A_0543,grpE,Nucleotide exchange factor,Essential,Genetic Information Processing
JCVISYN3A_0544,hrcA,Heat-inducible transcription repressor,Essential,Genetic Information Processing
JCVISYN3A_0545,clpB,ATP-dependent Clp protease subunit B,Essential,Genetic Information Processing
JCVISYN3A_0548,trmL; cspR,tRNA (cytidine(34)-2'-O)-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0549,rgdB,Non-canonical purine NTP pyrophosphatase,Nonessential,Metabolism
JCVISYN3A_0931,met14p,Adenylyl-sulfate kinase,Nonessential,Metabolism
JCVISYN3A_0592,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0593,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0599,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0600,rnjA,Ribonuclease J,Essential,Genetic Information Processing
JCVISYN3A_0601,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0604,lemA/lemA-gacS,"Uncharacterized protein/two component sensor, membrane",Nonessential,Unclear
JCVISYN3A_0605,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0606,pgk,Phosphoglycerate kinase,Essential,Metabolism
JCVISYN3A_0607,gapDH,Type I glyceraldehyde-3-phosphate dehydrogenase,Essential,Metabolism
JCVISYN3A_0608,dnaI,Primosomal protein,Essential,Genetic Information Processing
JCVISYN3A_0609,dnaB,Chromosome replication initiation protein,Essential,Genetic Information Processing
JCVISYN3A_0610,mutM,DNA-formamidopyrimidine glycosylase,Nonessential,Genetic Information Processing
JCVISYN3A_0611,polA,DNA polymerase I,Essential,Genetic Information Processing
JCVISYN3A_0612,dnaE,DNA polymerase III subunit alpha,Essential,Genetic Information Processing
JCVISYN3A_0613,tyrRS,Tyrosine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0614,pncB,Nicotinate phosphoribosyltransferase,Essential,Metabolism
JCVISYN3A_0615,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0616,fakB,Fatty acid binding protein,Essential,Metabolism
JCVISYN3A_0617,fakB,Fatty acid binding protein,Quasiessential,Metabolism
JCVISYN3A_0620,perR,Uncharacterized transcriptional regulator,Nonessential,Genetic Information Processing
JCVISYN3A_0621,acpA,Acyl carrier protein,Essential,Metabolism
JCVISYN3A_0622,,Uncharacterized lipoprotein,Nonessential,Unclear
JCVISYN3A_0623,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0634,leuRS,Leucine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0636,,Uncharacterized lipoprotein,Essential,Unclear
JCVISYN3A_0637,rpsI,30S ribosomal protein S9,Essential,Genetic Information Processing
JCVISYN3A_0638,rplM,50S ribosomal protein L13,Essential,Genetic Information Processing
JCVISYN3A_0639,,Uncharacterized efflux ABC transporter permease,Essential,Metabolism
JCVISYN3A_0640,truA,tRNA pseudouridine(38-40) synthase,Quasiessential,Genetic Information Processing
JCVISYN3A_0641,ecfT,ECF transporter T component,Essential,Metabolism
JCVISYN3A_0642,ecfA,ECF transporter ATPase,Essential,Metabolism
JCVISYN3A_0643,ecfA,ECF transporter ATPase,Essential,Metabolism
JCVISYN3A_0644,rplQ,50S ribosomal protein L17,Essential,Genetic Information Processing
JCVISYN3A_0645,rpoA,DNA-directed RNA polymerase subunit alpha,Essential,Genetic Information Processing
JCVISYN3A_0646,rpsK,30S ribosomal protein S11,Essential,Genetic Information Processing
JCVISYN3A_0647,rpsM,30S ribosomal protein S13,Essential,Genetic Information Processing
JCVISYN3A_0648,rpmJ,50S ribosomal protein L36,Essential,Genetic Information Processing
JCVISYN3A_0649,infA,Translation initiation factor IF-1,Essential,Genetic Information Processing
JCVISYN3A_0650,map,Type I methionyl aminopeptidase,Essential,Genetic Information Processing
JCVISYN3A_0651,adk,Adenylate kinase,Essential,Metabolism
JCVISYN3A_0652,secY,Preprotein translocase subunit,Essential,Genetic Information Processing
JCVISYN3A_0653,rplO,50S ribosomal protein L15,Quasiessential,Genetic Information Processing
JCVISYN3A_0654,rpsE,30S ribosomal protein S5,Essential,Genetic Information Processing
