source,n_members,set,best_single_ORACLE,random_single,graph_chosen_single,random_set,mean_single
RPS23,170,0.7452501654624939,0.6848452091217041,0.38327269433066247,0.5921615362167358,-0.1253610632265918,0.30555518948625404
RPS24,171,0.8179237246513367,0.7658355832099915,0.4352386129554361,0.6510634422302246,-0.15715867150574922,0.3366511046766625
RPS26,129,0.7120867371559143,0.7013454437255859,0.16270452592398216,0.6079325675964355,0.057924069184809926,0.2682486127625114
RPS27,156,0.6448637843132019,0.5911056995391846,0.2418590711429715,0.5732365846633911,-0.029558172170072793,0.28756914935650296
RPS27A,209,0.7846884727478027,0.732072651386261,0.2547895173542202,0.16503049433231354,-0.12018655827268958,0.25651523101023227
RPS28,171,0.7191692590713501,0.6743073463439941,0.39037417992949486,0.5727525949478149,-0.15164307728409768,0.29625226015276795
RPS3,179,0.773049533367157,0.7501826286315918,0.2885376174002886,0.6138697266578674,-0.14461799953132867,0.24608804159875772
RPS4X,169,0.8226613998413086,0.7652085423469543,0.33322222335264085,0.7257598638534546,-0.09173681216780097,0.33373523699450336
RPS5,169,0.7558550834655762,0.6977010369300842,0.3453792150132358,0.5982879400253296,-0.15774365812540053,0.3177596367702726
RPS6,212,0.8108196258544922,0.769359290599823,0.3516077321022749,0.6983405351638794,-0.20289234407246112,0.30106459715054096
RPS7,174,0.7954511046409607,0.7352044582366943,0.26075926553457973,0.6879395842552185,-0.047122628125362095,0.3273781163175724
RPS9,226,0.758526623249054,0.7067398428916931,0.3786571230739355,0.6983405351638794,-0.2613327600061893,0.2417356347597196
RRM1,4,0.16790837049484253,0.3059898316860199,0.1216824285686016,0.3059898316860199,-0.03309489781968296,0.08402186259627342
RRN3,12,0.3852914571762085,0.45255526900291443,0.08177682179957628,0.09335196018218994,-0.004437979659996927,0.15534212657560906
RRP12,51,0.7096208930015564,0.6357066631317139,0.517076376080513,0.5396837592124939,0.12926052063703536,0.41724614620975714
RRP7A,62,0.503889799118042,0.4609893560409546,0.29487703926861286,0.4140413701534271,0.12692983569577337,0.3188384418045321
RTF1,29,0.2191450446844101,0.5168001055717468,0.06873178462265059,0.5168001055717468,0.014827487437287346,0.07673201041199781
RUVBL1,61,0.10568737983703613,0.5093536376953125,0.022293994668871164,-0.11238737404346466,0.02159063017461449,0.01889593623717865
SAMM50,5,0.3627767860889435,0.42655596137046814,0.26299723200500014,0.06685883551836014,0.013090362408547662,0.1839326187968254
SAP18,40,-0.05162223055958748,0.16483895480632782,0.012730129342526198,0.14371785521507263,-0.044462914718315004,-0.010102741391165182
SETD1A,7,0.07542971521615982,0.15170849859714508,0.008840983361005783,0.03491431847214699,0.0854685221798718,0.02855623885989189
SF3B5,95,0.6064536571502686,0.5674804449081421,0.19990194514393805,0.5155075192451477,-0.03202337883412838,0.22544809703862195
SFPQ,13,-0.03164491802453995,0.19567428529262543,-0.039443235378712416,-0.06655755639076233,-0.02052856595837511,-0.008611327610336818
SLBP,12,0.0893644466996193,0.2829538881778717,0.04870052153710276,-0.014168750494718552,0.018200836535834243,0.027238156064413488
SLU7,51,0.7047694325447083,0.6121707558631897,0.24215822778642176,0.37093836069107056,-0.0008340875152498484,0.2717004199055772
SMC1A,10,0.3474840521812439,0.5466637015342712,0.032821631070692095,0.41179195046424866,-0.0839756339788437,0.1163872551289387
SMC3,5,0.4253895878791809,0.5466637015342712,0.27542900131084025,0.5466637015342712,0.0384694380016299,0.2141239596530795
SMG5,4,0.16858907043933868,0.2710624039173126,0.08273416077718139,0.2710624039173126,-0.0021561840763752115,0.08372093131765723
SMU1,56,0.37448328733444214,0.4024941921234131,0.17158554519992322,0.2480008453130722,0.12010793087538332,0.16757535026512674
SNRNP70,77,0.3387208580970764,0.4723498225212097,0.09351645465940236,0.3305823802947998,0.05537567054852843,0.09217162295955221
SNRPA1,103,0.648552417755127,0.5993916392326355,0.22551351832516958,0.5783621668815613,-0.20999857569113373,0.24873965687075522
SNRPC,133,0.28129786252975464,0.46069538593292236,0.06622990858741104,0.1606300324201584,0.07391771678812802,0.07526461285142022
SNRPD1,119,0.6296717524528503,0.6405268907546997,0.2533370088785887,0.6405268907546997,-0.018690408067777754,0.2130845527178334
SNRPE,133,0.6439669728279114,0.6351736187934875,0.26887292554602027,0.38921964168548584,-0.14232828326057642,0.19974642566009598
SNRPF,172,0.6932991743087769,0.6405268907546997,0.16877051601186394,0.4148644208908081,-0.16414532344788313,0.18565038017397964
