word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
proton,18,30,0.2056437792756769,0.12669453946534903,1.6231463498229177,0.484854433518235
cis-trans,12,20,0.13709585285045128,0.0844630263102327,1.6231463498229177,0.4844392694260309
outer,57,97,0.6512053010396436,0.40964567760462856,1.5896794147750228,0.46587031222824216
glutamate,22,38,0.251342396892494,0.16047974998944212,1.5661938463203593,0.44933372171507546
inorganic,11,19,0.125671198446247,0.08023987499472106,1.5661938463203593,0.4486530789188423
nucleotidyltransferase,11,19,0.125671198446247,0.08023987499472106,1.5661938463203593,0.4486530789188423
regulatory,28,49,0.3198903233177196,0.2069344144600701,1.545853666498017,0.436538264158048
racemase,12,21,0.13709585285045128,0.08868617762574432,1.5458536664980171,0.4356631506788258
transferase,59,106,0.6740546098480521,0.4476540394442333,1.5057489723200022,0.4114921873104578
atp-binding,240,437,2.7419170570090254,1.8455171248785844,1.4857174826754396,0.4050545850367353
deaminase,22,40,0.251342396892494,0.1689260526204654,1.4878841540043413,0.39798696270451206
nad-dependent,22,40,0.251342396892494,0.1689260526204654,1.4878841540043413,0.39798696270451206
adenylyltransferase,28,51,0.3198903233177196,0.21538071709109335,1.4852319540863301,0.39646722968160475
operon,13,24,0.14852050725465554,0.10135563157227924,1.4653404547012452,0.3822467885733536
acyltransferase,28,52,0.3198903233177196,0.21960386840660498,1.4566698011231314,0.37701574493249
ubiquinol,15,28,0.1713698160630641,0.11824823683432577,1.449237812341891,0.37130779916431234
hydratase,46,86,0.5255341025933965,0.3631910131340006,1.4469909320126786,0.371031821812017
repressor,24,45,0.27419170570090257,0.19004180919802355,1.4427967553981493,0.36726545743390737
enoyl-coa,25,47,0.2856163601051068,0.19848811182904685,1.4389595299848563,0.3646400766214368
amidase,17,32,0.19421912487147264,0.1351408420963723,1.437160830572375,0.36303633339712693
orf,17,32,0.19421912487147264,0.1351408420963723,1.437160830572375,0.36303633339712693
thioesterase,25,48,0.2856163601051068,0.20271126314455848,1.408981206443505,0.3435548418466281
sulfate,16,31,0.18279447046726838,0.13091769078086068,1.3962549245788543,0.33409654646657394
export,33,65,0.377013595338741,0.2745048355082563,1.3734315267732382,0.31824179038740485
dehydrogenase,290,577,3.313149777219239,2.436758309050213,1.3596546546754655,0.31624326537725533
nad,96,191,1.0967668228036103,0.8066219012627222,1.3597037485427586,0.31016337745128286
sulfurtransferase,17,34,0.19421912487147264,0.1435871447273956,1.352621958185765,0.3023706270979609
uptake,11,22,0.125671198446247,0.09290932894125596,1.352621958185765,0.3020925483838006
synthesis,11,22,0.125671198446247,0.09290932894125596,1.352621958185765,0.3020925483838006
